Name,NetWorth,Country,Source,Rank,Age,Residence,Citizenship,Status,Children,Education,Self_made
"Jeff Bezos",177,"United States",e-commerce,1,57,"Seattle, Washington","United States","In Relationship",4,"Bachelor of Arts/Science, Princeton University",1
"Elon Musk",151,"United States","electric vehicles",2,49,"Austin, Texas","United States","In Relationship",7,"Bachelor of Arts/Science, University of Pennsylvania",1
"Bill Gates",124,"United States",software,4,65,"Medina, Washington","United States",Divorced,3,"Drop Out, Harvard University",1
"Mark Zuckerberg",97,"United States","social network",5,36,"Palo Alto, California","United States",Married,2,"Drop Out, Harvard University",1
"Warren Buffett",96,"United States",finance,6,90,"Omaha, Nebraska","United States","Widowed, Remarried",3,"Master of Science, Columbia University; Bachelor of Arts/Science, University of Nebraska Lincoln",1
"Larry Ellison",93,"United States",software,7,76,"Lanai, Hawaii","United States","In Relationship",4,"Drop Out, University of Chicago; Drop Out, University of Illinois, Urbana-Champaign",1
"Larry Page",91.5,"United States","online services",8,48,"Palo Alto, California","United States",Married,1,"Master of Science, Stanford University; Bachelor of Arts/Science, University of Michigan",1
"Sergey Brin",89,"United States","online services",9,47,"Los Altos, California","United States",Married,3,"Master of Science, Stanford University; Bachelor of Arts/Science, University of Maryland, College Park",1
"Steve Ballmer",68.7,"United States",software,14,65,"Hunts Point, Washington","United States",Married,3,"Bachelor of Arts/Science, Harvard University; Drop Out, Stanford University",1
"Ma Huateng",65.8,China,"internet media",15,49,"Shenzhen, China",China,Married,NULL,"Bachelor of Arts/Science, Shenzhen University",1
"Carlos Slim Helu & family",62.8,Mexico,telecom,16,81,"Mexico City, Mexico",Mexico,Widowed,6,"Bachelor of Arts/Science, Universidad Nacional Autonoma de Mexico",1
"Michael Bloomberg",59,"United States","Bloomberg LP",20,79,"New York, New York","United States","In Relationship",2,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Johns Hopkins University",1
"Colin Zheng Huang",55.3,China,e-commerce,21,41,"Shanghai, China",China,NULL,NULL,"Master, University of Wisconsin Madison; Bachelor of Arts/Science, Zhejiang University",1
"Daniel Gilbert",51.9,"United States",finance,23,59,"Franklin, Michigan","United States",Married,5,"Bachelor of Arts/Science, Michigan State University; LLB, Wayne State University",1
"Phil Knight & family",49.9,"United States","sports apparel",25,83,"Hillsboro, Oregon","United States",Married,3,"Master of Business Administration, Stanford Graduate School of Business; Bachelor of Arts/Science, University of Oregon",1
"Jack Ma",48.4,China,e-commerce,26,56,"Hangzhou, China",China,Married,NULL,"Bachelor of Arts/Science, Hangzhou Teacher's Institute",1
"Masayoshi Son",45.4,Japan,"internet, telecom",29,63,"Tokyo, Japan",Japan,Married,2,"Bachelor of Arts/Science, University of California, Berkeley",1
"Michael Dell",45.1,"United States","computer hardware",30,56,"Austin, Texas","United States",Married,4,"Drop Out, The University of Texas at Austin",1
"Tadashi Yanai & family",44.1,Japan,"fashion retail",31,72,"Tokyo, Japan",Japan,Married,2,"Bachelor of Arts/Science, Waseda University",1
"Fran̤ois Pinault & family",42.3,France,"luxury goods",32,84,"Paris, France",France,Married,3,"Drop Out, High School",1
"Zhang Yiming",35.6,China,"social network",39,37,"Beijing, China",China,NULL,NULL,"Bachelor of Engineering, Nankai University",1
"Li Ka-shing",33.7,"Hong Kong",diversified,43,92,"Hong Kong","Hong Kong",Widowed,2,"Drop Out, High School",1
"William Lei Ding",33,China,"online games",45,49,"Hangzhou, China",China,NULL,NULL,"Bachelor of Arts/Science, University of Electronic Science and Technology of China",1
"Len Blavatnik",32,"United States","music, chemicals",46,63,"London, United Kingdom","United States",Married,NULL,"Master of Science, Columbia University; Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Moscow State University",1
"Alexey Mordashov & family",29.1,Russia,"steel, investments",51,55,"Moscow, Russia",Russia,Married,7,"Bachelor of Arts/Science, Leningrad Institute of Economics; Master of Business Administration, University of Northumbria",1
"Robin Zeng",28.4,"Hong Kong",batteries,52,52,"Ningde, China","Hong Kong",NULL,NULL,"Doctorate, Chinese Academy of Social Sciences",1
"Hui Ka Yan",27.7,China,"real estate",53,62,"Shenzhen, China",China,Married,2,"Bachelor of Arts/Science, Wuhan U of  Science & Tec",1
"Vladimir Potanin",27,Russia,metals,55,60,"Moscow, Russia",Russia,Married,7,"Bachelor of Arts/Science, Moscow Institute of International Relations",1
"Dietrich Mateschitz",26.9,Austria,beverages,56,76,"Fuschl am See, Austria",Austria,Single,1,"Master of Business Administration, University of Vienna",1
"Vladimir Lisin",26.2,Russia,"steel, transport",59,65,"Moscow, Russia",Russia,Married,3,"Doctorate, Russian Academy of Economics; Bachelor of Arts/Science, Siberian Metallurgical Institute",1
"Wang Xing",26.1,China,e-commerce,60,42,"Beijing, China",China,NULL,NULL,"Graduate, Tsinghua University",1
"Thomas Peterffy",25,"United States","discount brokerage",65,76,"Palm Beach, Florida","United States",Divorced,3,"Drop Out, New York University",1
"Vagit Alekperov",24.9,Russia,oil,66,70,"Moscow, Russia",Russia,Married,1,"Bachelor of Science in Engineering, Azerbaijan Institute of Oil and Chemistry",1
"Leonid Mikhelson",24.9,Russia,"gas, chemicals",66,65,"Moscow, Russia",Russia,Married,2,"Bachelor of Arts/Science, Kuybyshev Engineering and Construction Institute",1
"Jim Simons",24.6,"United States","hedge funds",68,83,"East Setauket, New York","United States",Married,3,"Bachelor of Arts/Science, Massachusetts Institute of Technology; Doctorate, University of California, Berkeley",1
"Jiang Rensheng & family",24.4,China,vaccines,69,67,"Chongqing, China",China,Married,1,"Associate in Arts/Science, Guilin Medical University",1
"Shiv Nadar",23.5,India,"software services",71,75,"Delhi, India",India,Married,1,"Bachelor of Arts/Science, PSG College of Technology",1
"Zhang Zhidong",23.4,China,"internet media",73,49,"Shenzhen, China",China,NULL,NULL,"Bachelor of Arts/Science, Shenzhen University; Master of Arts, South China University of Technology",1
"Lei Jun",23,China,smartphones,75,51,"Beijing, China",China,Married,2,"Bachelor of Science in Engineering, Wuhan University",1
"Richard Qiangdong Liu",22.4,China,e-commerce,77,47,"Beijing, China",China,Married,NULL,"Bachelor of Arts/Science, Renmin University of China",1
"Gennady Timchenko",22,Russia,"oil, gas",78,68,"Moscow, Russia",Russia,Married,3,"Bachelor of Arts/Science, Leningrad Mechanical Institute",1
"Stephen Schwarzman",21.9,"United States",investments,79,74,"New York, New York","United States",Married,3,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Yale University",1
"Li Xiting",21.5,Singapore,"medical devices",82,70,"Shenzhen, China",Singapore,NULL,NULL,"Bachelor of Science, University of Science and Technology of China",1
"Pierre Omidyar",21.4,"United States",e-commerce,83,53,"Honolulu, Hawaii","United States",Married,3,"Bachelor of Arts/Science, Tufts University",1
"Andrew Forrest",20.4,Australia,mining,87,59,"Perth, Australia",Australia,Married,3,"Bachelor of Arts/Science, University of Western Australia",1
"Ray Dalio",20.3,"United States","hedge funds",88,71,"Greenwich, Connecticut","United States",Married,4,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Long Island University",1
"Li Shufu",19.7,China,automobiles,89,57,"Hangzhou, China",China,Married,NULL,"Master of Science, Yanshan University",1
"Zhong Huijuan",19.7,China,pharmaceutical,89,60,"Shanghai, China",China,Married,NULL,"EMBA, Nanjing University",1
"Xu Hang",19.5,"Hong Kong","medical devices",92,54,"Shenzhen, China","Hong Kong",NULL,NULL,"EMBA, Ceibs; Bachelor of Engineering, Tsinghua University; Master of Science in Engineering, Tsinghua University",1
"Eric Schmidt",18.9,"United States","online services",96,66,"Atherton, California","United States",Married,2,"Bachelor of Arts/Science, Princeton University; Doctorate, University of California, Berkeley; Master of Science, University of California, Berkeley",1
