Name,NetWorth,Country,Source,Rank,Age,Residence,Citizenship,Status,Children,Education,Self_made
"Aziz Akhannouch & family",1.9,Morocco,"petroleum, diversified",1664,60,"Casablanca, Morocco",Morocco,Married,3,"Master of Business Administration, Universite de Sherbrooke",0
"Lee Bass",1.9,"United States","oil, investments",1664,64,"Fort Worth, Texas","United States",Married,NULL,"Master of Business Administration, University of Pennsylvania, The Wharton School; Bachelor of Arts/Science, Yale University",0
"Nicola Bulgari",1.9,Italy,"luxury goods",1664,80,"Rome, Italy",Italy,NULL,4,"Diploma, High School",0
"Chung Yong-jin",1.9,"South Korea",retail,1664,52,"Seoul, South Korea","South Korea",Married,4,"Bachelor of Arts/Science, Brown University",0
"Bulent Eczacibasi",1.9,Turkey,"pharmaceutical, diversified",1664,71,"Istanbul, Turkey",Turkey,Married,2,"Bachelor of Arts/Science, Imperial College London; Master of Science, Massachusetts Institute of Technology",0
"Robert Fisher",1.9,"United States",Gap,1664,67,"San Francisco, California","United States",Married,3,"Bachelor of Arts/Science, Princeton University; Master of Business Administration, Stanford University",0
"Sanjiv Goenka",1.9,India,diversified,1664,60,"Kolkata, India",India,Married,2,"Bachelor of Arts/Science, Calcutta University",0
"Yusuf Hamied",1.9,India,pharmaceutical,1664,84,"Mumbai, India",India,Married,NULL,"Doctorate, University of Cambridge",0
"Bill Haslam",1.9,"United States","gas stations",1664,62,"Knoxville, Tennessee","United States",Married,3,"Bachelor of Arts/Science, Emory University",0
"Stanley Hubbard",1.9,"United States",DirecTV,1664,87,"St. Paul, Minnesota","United States",Married,5,"Bachelor of Arts/Science, University of Minnesota",0
"Christopher Kwok",1.9,"Hong Kong","real estate",1664,35,"Hong Kong, Hong Kong","Hong Kong",Married,1,"Bachelor of Arts/Science, Harvard University; Master of Business Administration, Stanford Graduate School of Business",0
"Anand Mahindra",1.9,India,diversified,1664,66,"Mumbai, India",India,Married,2,"Bachelor of Arts/Science, Harvard University; Master of Business Administration, Harvard University",0
"Lachhman Das Mittal",1.9,India,tractors,1664,90,"Delhi, India",India,Married,5,"Bachelor of Arts/Science, Punjab University; Master of Arts, Punjab University",0
"Ermirio Pereira de Moraes",1.9,Brazil,diversified,1664,88,"Sao Paulo, Brazil",Brazil,Married,7,"Bachelor of Science in Engineering, University of Tulsa",0
"Maria Helena Moraes Scripilliti",1.9,Brazil,diversified,1664,90,"Sao Paulo, Brazil",Brazil,Widowed,4,"High School Graduate, High School",0
"Brian Roberts",1.9,"United States",Comcast,1664,61,"Philadelphia, Pennsylvania","United States",Married,3,"Bachelor of Arts/Science, University of Pennsylvania, The Wharton School",0
"Anita Zucker",1.9,"United States",chemicals,1664,69,"Charleston, South Carolina","United States",Widowed,3,"Bachelor of Arts/Science, University of Florida; Master of Arts, University of North Florida",0
"Arun Bharat Ram",1.8,India,chemicals,1750,80,"Delhi, India",India,Widowed,3,"Bachelor of Science in Engineering, University of Michigan",0
"James France",1.8,"United States","Nascar, racing",1750,76,"Daytona Beach, Florida","United States",Married,3,"Bachelor of Arts/Science, Florida Southern College",0
"Rolf Gerling",1.8,Germany,insurance,1750,66,"Zurich, Switzerland",Germany,Married,3,"Bachelor of Arts/Science, University of Zurich",0
"Thomas James",1.8,"United States",finance,1750,78,"Saint Petersburg, Florida","United States",Married,2,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Harvard University; Doctor of Jurisprudence, Stetson University",0
"Lee Boo-jin",1.8,"South Korea",Samsung,1750,50,"Seoul, South Korea","South Korea",Divorced,1,"Bachelor of Arts/Science, Yonsei University",0
"Vincent Lo",1.8,"Hong Kong","real estate",1750,72,"Hong Kong, Hong Kong","Hong Kong",Married,2,"Bachelor of Arts/Economics, University of New South Wales",0
"Martin Viessmann",1.8,Germany,"heating and cooling equipment",1750,67,"Allendorf, Germany",Germany,Married,2,"Diploma, University of Erlangen",0
"Chirayu Amin",1.7,India,pharmaceutical,1833,74,"Baroda, India",India,Married,3,"Bachelor of Arts/Science, Baroda University; Master of Business Administration, Seton Hall University",0
"Nicolas Berggruen",1.7,"United States",investments,1833,59,"Beverly Hills, California","United States",Single,NULL,"Bachelor of Arts/Science, New York University",0
"Saket Burman",1.7,"United Kingdom","consumer goods",1833,44,"Dubai, United Arab Emirates","United Kingdom",Single,NULL,"Bachelor of Business Administration, University of Wisconsin, Madison",0
"David Feffer",1.7,Brazil,"pulp and paper",1833,64,"Ṣo Paulo, Brazil",Brazil,Married,NULL,"Law Degree, Universidade Presbiteriana Mackenzie",0
"Christopher Goldsbury",1.7,"United States",salsa,1833,78,"San Antonio, Texas","United States",Married,1,"Bachelor of Arts/Science, Trinity University",0
"John Hancock",1.7,Australia,mining,1833,45,"Whistler, Canada",Australia,Married,3,"Master of Business Administration, University of Notre Dame",0
"Devendra Jain",1.7,India,chemicals,1833,92,"Delhi, India",India,Married,4,"Bachelor of Arts/Science, Delhi University",0
"Lee Seo-hyun",1.7,"South Korea",Samsung,1833,47,"Seoul, South Korea","South Korea",Married,4,"Bachelor of Arts/Science, Parsons School of Design",0
"Nicholas Pritzker",1.7,"United States","hotels, investments",1833,77,"Nicasio, California","United States",Married,4,"Bachelor of Arts/Science, Lake Forest College; Doctor of Jurisprudence, University of Chicago",0
"Theodore Rachmat",1.7,Indonesia,diversified,1833,77,"Jakarta, Indonesia",Indonesia,Married,3,"Bachelor of Arts/Science, Bandung Institute of Technology",0
"Andres Santo Domingo",1.7,"United States",beer,1833,42,"New York, New York","United States",Married,2,"Bachelor of Arts/Science, Brown University",0
"Vonnarat Tangkaravakoon",1.7,Thailand,"wire & cables, paints",1833,49,"Bangkok, Thailand",Thailand,NULL,NULL,"Bachelor of Commerce, Chulalongkorn University",0
"Charlotte Colket Weber",1.7,"United States",food,1833,78,"Hobe Sound, Florida","United States",Divorced,4,"Bachelor of Arts/Science, University of Paris",0
"Amit Burman",1.6,India,"consumer goods",1931,51,"Delhi, India",India,Married,2,"Master of Science, Columbia University; Master of Business Administration, Judge Business School; Bachelor of Arts/Science, Lehigh University",0
"Alfredo Egydio Arruda Villela Filho",1.6,Brazil,banking,1931,51,"Sao Paulo, Brazil",Brazil,Married,NULL,"Master of Business Administration, Fundacao Getulio Vargas; Bachelor of Engineering, Instituto Maua de Tecnologia",0
"Daniel Feffer",1.6,Brazil,"pulp and paper",1931,61,"Ṣo Paulo, Brazil",Brazil,Married,NULL,"Law Degree, Universidade Presbiteriana Mackenzie",0
"B. Wayne Hughes, Jr.",1.6,"United States","storage facilities",1931,60,"Malibu, California","United States",Married,NULL,"Bachelor of Arts/Science, University of Southern California",0
"William Koch",1.6,"United States","oil, investments",1931,81,"Palm Beach, Florida","United States",Married,6,"Bachelor of Arts/Science, Massachusetts Institute of Technology; Doctorate, Massachusetts Institute of Technology",0
"Sebastian Kulczyk",1.6,Poland,diversified,1931,40,Switzerland,Poland,NULL,NULL,"London School of Economics; Master, University of Poznan",0
"Gary Magness",1.6,"United States","cable TV, investments",1931,67,"Denver, Colorado","United States",Married,3,"Drop Out, Western State College of Colorado",0
"Rubens Ometto Silveira Mello",1.6,Brazil,"sugar, ethanol",1931,71,"Sao Paulo, Brazil",Brazil,Married,NULL,"Bachelor of Engineering, Polytechnic School of the University of Sao Paulo",0
"Peter Sperling",1.6,"United States",education,1931,61,"Phoenix, Arizona","United States",Married,2,"Bachelor of Arts/Science, University of California, Santa Barbara; Master of Business Administration, University of Phoenix",0
"Herbert Allen, Jr. & family",1.5,"United States","investment banking",2035,81,"New York, New York","United States",Divorced,4,"Bachelor of Arts/Science, Williams College",0
"Phongthep Chiaravanont",1.5,Thailand,diversified,2035,69,"Bangkok, Thailand",Thailand,NULL,NULL,"Master of Science, University of California, Davis",0
"Sue Gross",1.5,"United States",investments,2035,71,"Laguna Beach, California","United States",Divorced,1,"Associate in Arts/Science, Saddleback College",0
"Huh Jae-myung",1.5,"South Korea","electric components",2035,50,"Seoul, South Korea","South Korea",Married,NULL,"Master of Business Administration, Boston University; Bachelor of Arts/Science, Korea University",0
"Raymond Kwok",1.5,"Hong Kong","real estate",2035,68,"Hong Kong, Hong Kong","Hong Kong",Married,3,"Master of Arts, Cambridge University; Master of Business Administration, Harvard Business School",0
"Gary Lauder",1.5,"United States","beauty products",2035,59,"Atherton, California","United States",Married,2,"Master of Business Administration, Stanford Business School; Bachelor of Arts/Science, University of Pennsylvania",0
"Satish Reddy",1.5,India,pharmaceutical,2035,53,"Hyderabad, India",India,Married,2,"Bachelor of Science in Engineering, Osmania University; Master of Science, Purdue University",0
"Helena Revoredo",1.5,Spain,"security services",2035,74,"Madrid, Spain",Spain,Widowed,4,"Bachelor of Arts/Science, Catholic University of Buenos Aires; Master of Business Administration, IESE Business School",0
"Fayez Sarofim",1.5,"United States","money management",2035,92,"Houston, Texas","United States",Married,5,"Master of Business Administration, Harvard University; Bachelor of Arts/Science, University of California, Berkeley",0
"Radha Vembu",1.5,India,"business software",2035,48,"Chennai, India",India,Married,1,"Bachelor of Arts/Economics, Indian Institute of Technology Madras (IIT Madras)",0
"Thomas Wu",1.5,Taiwan,finance,2035,71,"Taipei, Taiwan",Taiwan,Married,2,"Bachelor of Arts/Science, Fu Jen Catholic University; Master of Business Administration, University of California, Los Angeles",0
"Anu Aga",1.4,India,engineering,2141,78,"Pune, India",India,Widowed,1,"Bachelor of Arts/Science, Bombay University",0
"Jayme Garfinkel",1.4,Brazil,insurance,2141,75,"Sao Paulo, Brazil",Brazil,Divorced,2,"Master of Business Administration, Fundacao Getulio Vargas; Bachelor of Arts/Science, Universidade de Sao Paulo",0
"Mimi Haas",1.4,"United States",textiles,2141,74,"San Francisco, California","United States",Widowed,NULL,"Bachelor of Arts/Science, George Washington University",0
"Timothy Headington",1.4,"United States","oil & gas, investments",2141,71,"Dallas, Texas","United States",Single,NULL,"Bachelor of Arts/Science, University of Oklahoma",0
"Antonio Marcegaglia",1.4,Italy,steel,2141,57,"Mantua, Italy",Italy,NULL,NULL,"Bachelor of Business Administration, Bocconi University",0
"Emma Marcegaglia",1.4,Italy,steel,2141,55,"Mantua, Italy",Italy,NULL,NULL,"Bachelor of Business Administration, Bocconi University; Master of Business Administration, New York University",0
"Wilma Tisch",1.4,"United States",diversified,2141,93,"New York, New York","United States",Widowed,4,"Bachelor of Arts/Science, Skidmore College",0
"Richard Yuengling, Jr.",1.4,"United States",beer,2141,78,"Pottsville, Pennsylvania","United States",Divorced,4,"Drop Out, Lycoming College",0
"Othman Benjelloun & family",1.3,Morocco,"banking, insurance",2263,88,"Casablanca, Morocco",Morocco,Married,2,"Diploma, Ecole Polytechnique de Lausanne",0
"Pradip Burman",1.3,India,"consumer goods",2263,78,"Delhi, India",India,Married,2,"Bachelor of Engineering, Massachusetts Institute of Technology",0
"Cho Jung-ho",1.3,"South Korea",finance,2263,62,"Seoul, South Korea","South Korea",Married,3,"Master of Business Administration, IMD; Bachelor of Arts/Science, University of Southern California",0
"Ayman Hariri",1.3,Lebanon,"construction, investments",2263,42,"Paris, France",Lebanon,Married,3,"Bachelor of Arts/Science, Georgetown University",0
"Eduardo Hochschild",1.3,Peru,mining,2263,57,"Lima, Peru",Peru,Married,4,"Bachelor of Arts/Science, Tufts University",0
"Kim Nam-jung",1.3,"South Korea",food,2263,48,"Seoul, South Korea","South Korea",Married,2,"Bachelor of Arts/Science, Korea University; Master of Business Administration, University of Michigan, Stephen M. Ross School of Business",0
"Hemendra Kothari",1.3,India,"Financial Services",2263,74,"Mumbai, India",India,Widowed,2,"Bachelor of Arts/Economics, Bombay University",0
"Deepak Mehta",1.3,India,chemicals,2263,64,"Vadodara, India",India,Married,2,"Bachelor of Science, Bombay University",0
"George Alexander Muthoot",1.3,India,"financial services",2263,65,"Ernakulam, India",India,Married,2,"Chartered Accountant, Institute of Chartered Accountants of India; Bachelor of Commerce, University of Kerala",0
"George Jacob Muthoot",1.3,India,"financial services",2263,68,"Trivandrum, India",India,Married,2,"Bachelor of Science in Engineering, Manipal University",0
"Nobutada Saji",1.3,Japan,beverages,2263,75,"Tokyo, Japan",Japan,Married,NULL,"Master of Business Administration, Anderson School of Management",0
"Shin Chang-jae",1.3,"South Korea",insurance,2263,67,"Seoul, South Korea","South Korea",Married,2,"Doctorate, Seoul National University",0
"Luis Enrique Yarur Rey",1.3,Chile,banking,2263,70,"Santiago, Chile",Chile,Married,8,"Master of Business Administration, IESE Business School",0
"Henry Cheng",1.2,"Hong Kong",diversified,2378,74,"Hong Kong, Hong Kong","Hong Kong",Married,4,"Bachelor of Arts/Science, The University of Western Ontario - Richard Ivey School of Business; Master of Business Administration, The University of Western Ontario - Richard Ivey School of Business",0
"Dan Gertler",1.2,Israel,mining,2378,47,"Bnei Brak, Israel",Israel,Married,11,"Diploma, High School",0
"Lance Gokongwei",1.2,Philippines,diversified,2378,53,"Manila, Philippines",Philippines,Married,NULL,"Bachelor of Science, The Wharton School of the University of Pennsylvania; Bachelor of Science, University of Pennsylvania, School of Engineering and Applied Science",0
"Stelios Haji-Ioannou",1.2,Cyprus,Airline,2378,54,"Monte Carlo, Monaco",Cyprus,Single,NULL,"Master of Science, City University of London; Bachelor of Arts/Science, London School of Economics",0
"Hong Seok-joh",1.2,"South Korea","convenience stores",2378,68,"Seoul, South Korea","South Korea",Married,1,"Master of Laws, Harvard University; Law Degree, Seoul National University",0
"Koo Bon-joon",1.2,"South Korea","electronics, household products",2378,69,"Seoul, South Korea","South Korea",Married,2,"Bachelor of Arts/Science, Seoul National University; Master of Business Administration, University of Chicago",0
"Koo Bon-neung",1.2,"South Korea",electronics,2378,72,"Seoul, South Korea","South Korea",Married,2,"Bachelor of Arts/Science, Korea University",0
"Koo Bon-sik",1.2,"South Korea","electronics, household products",2378,62,"Seoul, South Korea","South Korea",Married,3,"Master, University of Michigan",0
"Lee Jay-hyun",1.2,"South Korea","food products, entertainment",2378,61,"Seoul, South Korea","South Korea",Married,2,"Bachelor of Arts/Science, Korea University",0
"Jorge Mas",1.2,"United States",Construction,2378,58,"Miami, Florida","United States",Married,3,"Master of Business Administration, University of Miami",0
"G.V. Prasad",1.2,India,pharmaceutical,2378,60,"Hyderabad, India",India,Married,3,"Bachelor of Science in Engineering, Illinois Institute of Technology; Master, Purdue University",0
"Michael Price",1.2,"United States",investments,2378,68,"Far Hills, New Jersey","United States",Married,4,"Bachelor of Arts/Science, University of Oklahoma",0
"Dani Reiss",1.2,Canada,"down jackets",2378,47,"Toronto, Canada",Canada,Married,NULL,"Bachelor of Arts/Science, University of Toronto",0
"Alan Zekelman",1.2,Canada,steel,2378,58,"Bloomfield Hills, Michigan",Canada,NULL,NULL,"Master of Science, University of Rochester; Bachelor of Commerce, University of Toronto",0
"Henry Davis",1.1,"United States","beef processing",2524,70,"Omaha, Nebraska","United States",Divorced,NULL,"Bachelor of Arts/Science, University of Denver",0
"Soichiro Fukutake",1.1,Japan,education,2524,75,"Auckland, New Zealand",Japan,Married,1,"Bachelor of Arts/Science, Waseda University",0
"Anne Gittinger",1.1,"United States","Nordstrom department stores",2524,85,"Seattle, Washington","United States",Married,2,"Bachelor of Arts/Science, University of Washington",0
"Mitchell Jacobson",1.1,"United States","industrial equipment",2524,70,"Locust Valley, New York","United States",Married,NULL,"Bachelor of Arts/Science, Brandeis University; Law Degree, New York University",0
"Lee Ho-jin",1.1,"South Korea",diversified,2524,58,"Seoul, South Korea","South Korea",Married,2,"Master of Business Administration, Samuel Curtis Johnson Graduate School of Management; Bachelor of Arts/Science, Seoul National University",0
"Manfredi Lefebvre d'Ovidio",1.1,Italy,cruises,2524,68,"Monte Carlo, Monaco",Italy,Divorced,1,"Drop Out, La Sapienza University of Rome",0
"Nancy Lerner",1.1,"United States","banking, credit cards",2524,60,"Cleveland, Ohio","United States",Married,5,"Doctor of Jurisprudence, Cleveland State University; Bachelor of Arts/Science, University of Cincinnati",0
